english,tech,avg_time (s),avg_time (m),avg_recordings
1.2,3,151.33,2.52,1.2
1,2.625,82.63,1.38,1.0
2.1,2.75,95.46,1.59,1.0
1,2.875,176.11,2.94,1.0
1.8,3.125,162.63,2.71,2.2
4.2,3.5,186.82,3.11,4.2
1.1,3.375,168.57,2.81,1.2
1.6,3.375,78.44,1.31,1.0
